Country.Name,year,GDP
Russia,X1963,NA
Rwanda,X1963,1.28E+08
Saudi Arabia,X1963,NA
Sudan,X1963,1568333333
Senegal,X1963,886387156.1
Singapore,X1963,917222004.4
Solomon Islands,X1963,NA
Sierra Leone,X1963,348546952.1
El Salvador,X1963,NA
San Marino,X1963,NA
Somalia,X1963,NA
Serbia,X1963,NA
South Sudan,X1963,NA
Sao Tome and Principe,X1963,NA
Suriname,X1963,1.10E+08
Slovakia,X1963,NA
Slovenia,X1963,NA
Sweden,X1963,18954132366
Swaziland,X1963,54128377.43
Sint Maarten,X1963,NA
Seychelles,X1963,13923029.26
Syria,X1963,1200447429
Turks and Caicos Islands,X1963,NA
Chad,X1963,371767002.7
Togo,X1963,143255784.5
Thailand,X1963,3540403457
Tajikistan,X1963,NA
Turkmenistan,X1963,NA
Timor-Leste,X1963,NA
Tonga,X1963,NA
Trinidad and Tobago,X1963,678235373
Tunisia,X1963,NA
Turkey,X1963,10355555556
Tuvalu,X1963,NA
Tanzania,X1963,NA
Uganda,X1963,516147798.7
Ukraine,X1963,NA
Uruguay,X1963,1539681491
USA,X1963,6.39E+11
Uzbekistan,X1963,NA
St. Vincent and the Grenadines,X1963,13708219.1
Venezuela,X1963,10823878788
British Virgin Islands,X1963,NA
Virgin Islands (U.S.),X1963,41400000
Vietnam,X1963,NA
Vanuatu,X1963,NA
Samoa,X1963,NA
Kosovo,X1963,NA
Yemen,X1963,NA
South Africa,X1963,9423211536
Zambia,X1963,718714285.7
Zimbabwe,X1963,1159511700
Aruba,X1964,NA
Afghanistan,X1964,800000044.4
Angola,X1964,NA
Albania,X1964,NA
Andorra,X1964,NA
United Arab Emirates,X1964,NA
Argentina,X1964,25605249382
Armenia,X1964,NA
American Samoa,X1964,NA
Antigua and Barbuda,X1964,NA
Australia,X1964,23758539590
Austria,X1964,9169983886
Azerbaijan,X1964,NA
Burundi,X1964,260750008
Belgium,X1964,15960106681
Benin,X1964,269818988.3
Burkina Faso,X1964,410321785.6
Bangladesh,X1964,5386054619
Bulgaria,X1964,NA
Bahrain,X1964,NA
Bahamas,X1964,266666666.7
Bosnia and Herzegovina,X1964,NA
Belarus,X1964,NA
Belize,X1964,36193826.12
Bermuda,X1964,107566650.6
Bolivia,X1964,812543072.5
Brazil,X1964,21211892260
